wavelength_range,f_seriesExpansion,f_table,error
sub-visible,12.2158769923388,12.220484,-0.0376990605378945
visible,36.6609245731587,36.649009,0.0325126749231232
infrared,50.9410550431471,51.130507,-0.370526263025111
